$^あー……何と言ったかな……そうそう、(.+?)ちゃんだ。$	아―…… 뭐라고 말했을까나…… 그래그래, $1짱이다.
$^すると(.+?)は尋常ではないくらいに慌てる。$	그러자(면)$1은 심상하지 않을 정도 에 당황한다.
$^どうかしたの、(.+?)？$	어떻게든 한 것,$1?
$^わざとらしい笑みを浮かべて、(.+?)はそう言って誤魔化す。$	일부러인것 같은 미소를 띄워,$1는 그렇게 말해 속인다.
$^それで誤魔化せると思っているところが、(.+?)らしくて可愛い。$	그래서 속일 수 있다고 생각하고 있는 곳(중)이,$1답고 사랑스럽다.
$^(.+?)が隠していたものを、隙を突いて強引に奪い取る。$	$1하지만 숨기고 있던 것을, 틈을 찔러 억지로 강탈한다.
$^(.+?)はかなり慌てるが、俺から奪い返すことは出来ない。$	$1(은)는 꽤 당황하지만, 나로부터 빼앗아 돌려주는 것은 할 수 없다.
$^えっと……これが(.+?)の『ご主人様』なんだ？$	어와……이것이$1의 「주인님」이야?
$^そう尋ねてみると、(.+?)はもう諦めたのか、頬を赤らめつつ頷く。$	그렇게 물어 보면,$1은 벌써 단념했는지, 뺨을 붉히면서 수긍한다.
$^そう考えると嬉しくなるのと同時に、俺も(.+?)のそういった画像が欲しくなる。$	그렇게 생각하면(자) 기뻐지는 것과 동시에, 나도$1가 그렇게 말한 화상을 갖고 싶어진다.
$^いや、別に構わないけど……その代わり、俺にも撮らせて欲しいな、(.+?)の画像を。$	아니, 별로 상관없지만……그 대신해, 나에게도 찍게 했으면 좋다,$1의 화상을.
$^(.+?)は驚いて恥ずかしがるが、俺の画像を持っていても良いという交換条件に、心が揺れているようだった。$	$1(은)는 놀라 부끄러워하지만, 나의 화상을 가지고 있어도 좋다고 하는 교환 조건에, 마음이 흔들리고 있는 것 같았다.
$^(.+?)ばっかり撮ってるのは、ずるいと思わない？$	$1뿐 찍고 있는 것은, 간사하다고 생각하지 않아?
$^痛いところをつかれたのか、(.+?)は何も言い返せない。$	아픈 곳을 지쳤는지,$1는 아무것도 말대답할 수 없다.
$^恥ずかしそうにポーズを取る(.+?)を前に、俺はシャッターを切っていく。$	부끄러운 듯이  포즈를 취하는$1을 앞에 두고, 나는 셔터를 눌러 간다.
$^その度に(.+?)は小さく身じろぎして、恥ずかしそうに目を逸らした。$	그때마다$1는 작고 몸화로 의치라고, 부끄러운 듯이  눈을 일등 했다.
$^携帯の画面を確認しながら、恥ずかしがる(.+?)にそう言ってやる。$	휴대폰의 화면을 확인하면서, 부끄러워하는$1에 그렇게 말한다.
$^それもそうだけど……ほら、もっと笑って。(.+?)の可愛い顔が台無しだよ？$	그것도 그렇지만……이봐요, 좀 더 웃어. $1의 사랑스러운 얼굴이 엉망이야?
$^そう思って声を掛けると、(.+?)は頬を赤らめつつ、懸命に笑顔を作った。$	그렇게 생각해 말을 걸면(자),$1는 뺨을 붉히면서, 열심히 억지 웃음을 지었다.
$^(.+?)はぎこちないながらも、笑顔でポーズを撮り続けていた。$	$1벗겨 여기 없으면서, 웃는 얼굴로 포즈를 계속 찍고 있었다.
$^(.+?)が撮られるのに慣れてきたところで、俺は次の指示を出した。$	$1하지만 찍히는데 익숙해져 왔더니, 나는 다음이 지시를 내렸다.
$^具体的に指示を出すと、(.+?)の顔がどんどん赤くなっていく。$	구체적으로 지시를 내리면(자),$1의 얼굴이 자꾸자꾸 붉게 되어 간다.
$^凄くエッチで可愛いよ、(.+?)……！$	굉장히 음란하고 사랑스러워,$1……!
$^ほら、もっとこっち見て、(.+?)！$	이봐요, 좀 더 여기 봐,$1!
$^顔を真っ赤にして恥らい、俺から視線を逸らす(.+?)。$	얼굴을 새빨갛게 해 수치등 있고, 나로부터 시선을 일$1.
$^俺はそんな(.+?)のあられもない姿を、携帯のカメラに収め続けた。$	나는 그런$1것 여자답지 않은 모습을, 휴대폰의 카메라에 계속 담았다.
$^撮った画像を確認しつつ、(.+?)にそう指示を出す。$	찍은 화상을 확인하면서,$1에 그렇게 지시를 내린다.
$^自分のしたことが悪いことだと思っているのか、(.+?)は何も言えなくなる。$	자신이 했던 것(적)이 나쁜 일이라고 생각하고 있는지,$1는 굳이 말할 수 없게 된다.
$^暫く視線を彷徨わせていた(.+?)は、やがて覚悟を決めたのか、おずおずと脚を開いてオナニーを始めた。$	잠시 시선을 방황 조생이라고 있었다$1는, 이윽고 각오를 결정했는지, 흠칫흠칫 다리를 열어 자위를 시작했다.
$^(.+?)は戸惑いつつ、股間に指を這わせていく。$	$1(은)는 당황하면서, 사타구니에 손가락을 기게 해 간다.
$^撮られていることで羞恥を刺激され、徐々に興奮してきたのか、(.+?)の口元から甘い吐息が漏れ出す。$	찍히고 있는 것으로 수치가 자극되어 서서히 흥분해 왔는지,$1의 입가로부터 단 한숨이 새고 낸다.
$^気持ち良さそうだね、(.+?)？$	기분 좋음 그렇다,$1?
$^もちろん、(.+?)がイクまでだよ？$	물론,$1이 이크까지야?
$^(.+?)の羞恥と興奮を煽りつつ、絶頂へと向かう為のオナニーを促す。$	$1의 수치와 흥분을 부추기면서, 절정으로 향하기 때문에(위해)의 자위를 재촉한다.
$^その言葉に(.+?)は一瞬だけ迷いを見せたものの、このままでは終わらないと分かっているのか、指先は素直に膣口を目指していった。$	그 말에$1는 일순간만 미혹을 보였지만, 이대로는 끝나지 않는다고 알고 있는지, 손가락끝은 솔직하게 질구[膣口]를 목표로 해 갔다.
$^そんなに濡れてたんだね、(.+?)。$	그렇게 젖고 있었어,$1.
$^羞恥に震えながらも、(.+?)は本格的に指を動かしていく。$	수치에 떨리면서도,$1는 본격적으로 손가락을 움직여 간다.
$^快感を追い求めるように指を出し入れさせ、徐々に喘ぎも大きくなり、(.+?)は乱れていく。$	쾌감을 추구하도록(듯이) 손가락을 출납시켜, 서서히 천도 커져,$1는 흐트러져 간다.
$^(.+?)、どんなふうにオナニーしてるのか、実況してくれる？$	$1, 어떤 식으로 자위하고 있는지, 실황해 줄래?
$^携帯のシャッターを切りながら、(.+?)に新たな指示を出す。$	휴대폰의 셔터를 누르면서,$1에 새로운 지시를 내린다.
$^(.+?)は潤んだ瞳で俺を見詰めて頷くと、快感に染まった声で実況し始めた。$	$1(은)는 물기를 띤 눈동자로 나를 응시해 수긍하면(자), 쾌감에 물든 소리로 실황하기 시작했다.
$^淫らな言葉を並べ、興奮を昂ぶらせていく(.+?)。$	추잡한 말을 늘어놓아 흥분을 앙인 체하게 하며 간다$1.
$^いいよ、(.+?)。そのままイクところを、ちゃんと見せて。$	좋아,$1. 그대로 이크곳을, 분명하게 보이게 해 줘.
$^俺の言葉に無言で頷き、(.+?)は夢中になって指を動かす。$	나의 말에 무언으로 수긍해,$1는 열중해 손가락을 움직인다.
$^(.+?)のオナニーを間近で見て、俺の興奮もかなり高まっていた。$	$1의 자위를 가까이서 봐, 나의 흥분도 꽤 높아지고 있었다.
$^(.+?)がエッチに奉仕しているところを、しっかりと撮ってあげるよ。$	$1하지만 음란하게 봉사하고 있는 곳(중)을, 제대로 찍어 줄게.
$^当然だよ。(.+?)の恥ずかしい所を、余すことなく収めるからね？$	당연해. $1의 부끄러운 곳을, 남기는 일 없이 거두니까요?
$^(.+?)はそう言いつつ、俺のペニスへと奉仕を始める。$	$1(은)는 그렇게 말하면서, 나의 페니스로 봉사를 시작한다.
$^いいよ、(.+?)……$	좋아,$1……
$^そんな(.+?)の表情を見下ろしつつ、携帯に撮っていく。$	그런$1것 표정을 내려다 보면서, 휴대폰에 찍어 간다.
$^撮られていることを恥らいながらも、(.+?)は丁寧に奉仕してくれる。$	찍히고 있는 것을 수치등 있으면서도,$1는 정중하게 봉사해 준다.
$^(.+?)、こっちを見て。$	$1, 여기를 봐.
$^(.+?)に目線を要求し、こちらを見上げた瞬間にシャッターを切る。$	$1에 시선을 요구해, 이쪽을 올려본 순간에 셔터를 누른다.
$^俺の言葉を聞いて、(.+?)は見上げるのを止めて、本格的にペニスを咥えこむ。$	나의 말을 (들)물어,$1는 올려보는 것을 멈추어, 본격적으로 페니스를 질네 넣는다.
$^ぅ……いいよ、(.+?)……気持ち良いよ……直ぐに出ちゃいそうだ……$	……좋아,$1……기분 좋아……곧바로 나와버릴 것 같다……
$^(.+?)はそれを聞いて更に奉仕に熱を入れ、激しくペニスを舐めしゃぶる。$	$1(은)는 그것을 (들)물어 더욱 봉사에 흥분해 격렬하게 페니스를 빤다.
$^くっ……そろそろ出すよ、(.+?)……！　ちゃんと俺の方を見ながらしゃぶって……！$	구……슬슬 내,$1……!　분명하게 나의 (분)편을 보면서 빨아……!
$^(.+?)の顔に、ドロドロのザーメンを掛けてあげるからね……！$	$1의 얼굴에, 질척질척의 정액을 걸어 주니까요……!
$^限界まで高まった俺は、そのまま(.+?)の顔へと射精した。$	한계까지 높아진 나는, 그대로$1의 얼굴로 사정했다.
$^(.+?)は目を閉じながら、しっかりとそれを受け止める。$	$1(은)는 눈감으면서, 제대로 그것을 받아 들인다.
$^よく撮れてるよ。あとで(.+?)にも送ってあげるからね。$	잘 찍히고 있어. 나중에$1에도 보내 주니까요.
$^そしてその携帯に向かって、(.+?)の体を抱え上げた。$	그리고 그 휴대폰으로 향해,$1의 몸을 움켜 쥐었다.
$^何をどう撮られるのか理解して、(.+?)は動揺しながら許しを請う。$	무엇을 어떻게 찍히는지 이해해,$1는 동요하면서 허가를 청한다.
$^俺はそっと(.+?)に耳打ちした。$	나는 살그머니$1에 귀엣말했다.
$^ちゃんと言えたら許してあげる。(.+?)は悪い子なんだから、反省したっていう証拠を見せてくれなくちゃね？$	제대로 말할 수 있으면(자) 허락해 준다. $1(은)는 나쁜 아이니까, 반성했다고 하는 증거를 보여 주지 않으면?
$^困惑していた(.+?)は、その言葉で観念する。$	곤혹하고 있었다$1는, 그 말로 관념한다.
$^俺は(.+?)が言い終えると同時に、下からペニスを挿入した。$	나는$1이 말을 끝내는 것과 동시에, 아래로부터 페니스를 삽입했다.
$^言う通りにすれば、挿入されている姿を撮られないと思っていた(.+?)は、恨めしそうな声を上げる。$	말하는 대로 하면, 삽입되고 있는 모습을 찍히지 않는다고 생각하고 있었다$1는, 원망스러운 것 같은 소리를 높인다.
$^俺はそんな(.+?)を激しく責め立てていった。$	나는 그런$1을 격렬하게 몰아세워 갔다.
$^(.+?)は喘ぎ混じりに、そう訴えてくる。$	$1(은)는 허덕여 섞임에, 그렇게 호소해 온다.
$^羞恥と快感が入り混じる中で、(.+?)は恍惚とした表情を浮かべる。$	수치와 쾌감이 들어가 섞이는 가운데,$1는 황홀로 한 표정을 띄운다.
$^煽り続けながらせめていくと、(.+?)は弱々しく首を振って嫌がる。$	계속 부추기면서 적어도 가면(자),$1는 허약하게 고개를 저어 싫어한다.
$^俺はもう一度、(.+?)の耳元で囁きかけた。$	나는 한번 더,$1의 귓전으로 속삭여 걸쳤다.
$^(.+?)はそれを聞いた瞬間、言葉に詰まって表情を強張らせる。$	$1(은)는 그것을 (들)물은 순간, 말에 막혀 표정을 굳어지게 한다.
$^激しく腰を突き上げながら、(.+?)を煽ってスパートを掛ける。$	격렬하게 허리를 밀어 올리면서,$1를 부추겨 스퍼트를 건다.
$^(.+?)は戸惑っているのは言葉は出て来ないが、その喘ぎは大きくなり、膣内もうねるように俺のペニスを締め付けてくる。$	$1(은)는 당황하고 있는 것은 말은 나와 오지 않지만, 그 천는 커져, 질내 이제(벌써) 자도록(듯이) 나의 페니스를 단단히 조여 온다.
$^(.+?)のオマンコが気持ち良過ぎて、もう出そうだよ……！　このまま俺のチンポでイかされるところを、世界中の人に見て貰おうね……！$	$1의 보지가 기분 너무 좋아, 이제 내자야……!　이대로 나의 자지로 이인가 되는 곳(중)을, 온 세상의 사람에게 봐 받자……!
$^そこで、射精が近いことをそう告げると、(.+?)はようやく観念したのか、喘ぎ混じりに俺の耳打ちした台詞を口にする。$	거기서, 사정이 가까운 일을 그렇게 고하면(자),$1는 간신히 관념했는지, 허덕여 섞여에 나의 귀엣말한 대사를 말한다.
$^俺が更に促すと、(.+?)は躊躇いがちに台詞を続ける。$	내가 더욱 재촉하면(자),$1는 주저하기 쉽상에 대사를 계속한다.
$^(.+?)が最後まで言い切るのと同時に、俺も限界へと達する。$	$1하지만 끝까지 단언하는 것과 동시에, 나도 한계로 달한다.
$^くっ……出すよ、(.+?)……！$	구……내,$1……!
$^一番深いところで射精すると、(.+?)の膣内はそのペニスを締め付け、そして射精を受け止めながら絶頂へと昇り詰めていった。$	제일 깊은 곳으로 사정하면(자),$1의 질내는 그 페니스를 단단히 조이고 그리고 사정을 받아 들이면서 절정으로 올라 채워 갔다.
