主人公の名前を決めて下さい。	주인공의 이름을 결정해 주세요.
いい車は、他の車と何が違うのでしょう。	좋은 차는, 다른 차와 무엇이 다르겠지요.
車体性能も内装も段違いだよ。持ってるだけでステータスになる。女の子も『高級車すごい』って思ってくれるしね。	차체 성능도 내장도 현격한 차이야. 가지고 있을 뿐으로 스테이터스가 된다. 여자 아이도 「고급차 대단해」라고 생각해 주기도 하고.
それは見せかけですよ。人間として中身が伴っているかどうかはまた別の話ではないでしょうか。	그것은 외관이에요. 인간으로서 내용이 수반하고 있을지 어떨지는 또 다른 이야기는 아닐까요.
うぐっ、痛いところを突いてくるな……俺は中身がないと？	, 아픈 곳을 찔러 온데……나는 내용이 없으면?
い、いえ、そういうことではっ……	있고, 아니요 그런 것에서는 ……
まあでも、その通りだよな。身の丈にあった贅沢をするべきかも。	뭐 그렇지만, 그대로야. 신장에 있던 사치를 해야할 것인가도.
はい、私もそう思います。	네, 나도 그렇게 생각합니다.
豪華客船で旅をするとか……うん、そんな感じかな。	호화 여객선으로 여행을 한다든가……응, 그런 느낌일까.
旅行とかでぱっと使って、また日常に戻るくらいがちょうどいいと思うんだ。	여행등으로 쫙 사용하고, 또 일상에 돌아올 정도로 거위 도이 실 생각한다.
素敵ですね。私も、もし宝くじが当たったら旅行に使うことにします。	멋지네요. 나도, 만약 복권이 당첨되면(자) 여행에 사용하기로 하겠습니다.
旅行が好きなんだ？	여행을 좋아해?
人混みが苦手であまり外出はしない方なのですが、豪華客船の旅でしたらゆっくりと楽しめそうです。	혼잡에 약해 그다지 외출은 하지 않는 (분)편입니다만, 호화 여객선의 여행이라면 천천히 즐길 수 있을 것 같습니다.
じゃあ、宝くじが当たったら一緒に豪華客船に乗ろう！	자, 복권이 당첨되면(자) 함께 호화 여객선을 타자!
私がご一緒していいのですか？	내가 함께 해도 좋습니까?
当然だよ。一人で豪華客船の旅をしたって寂しいだけだろ？	당연해. 혼자서 호화 여객선의 여행을 해도 외로운 것뿐이겠지?
ふふ、確かにそうですね。では、もし当たったらご一緒させていただきます。	후후, 확실히 그렇네요. 그럼, 만약 맞으면(자) 함께 하겠습니다.
ハーレム、というのは女性たちを集めてかしづかせるということですか？	하렘, 이라고 하는 것은 여성들을 모아인가 빌려줄 수 있다고 하는 것입니까?
そうだね。女の子たちと酒池肉林の毎日を楽しむんだ。	그렇다. 여자 아이들과 주지육림의 매일을 즐긴다.
はあ、ご主人様らしいですね……	하아, 주인님다운 일이네요……
……ご主人様、ぶしつけながら申し上げてもよろしいですか。	……주인님, 무례하면서 말씀드려도 좋습니까.
ああ、何でも言ってよ。	아, 뭐든지 말해.
既にご主人様は、このお店でハーレムに近いものを実現なさっていると思うのですが？	이미 주인님은, 이 가게로 하렘에 가까운 것을 실현 하고 계신다고 생각합니다만?
うん？　……あれ、そうかも。	응? ……어라, 그럴지도.
はあ、ご主人様……ふ、不特定多数の女性に声をかけて……全くもう。	하아, 주인님……, 불특정 다수의 여성에게 얘기해……완전히 이제(벌써).
旅行でここに行ってみたい、って場所はある？	여행으로 여기에 가 보고 싶은, 은 장소는 있어?
普段は出不精なのですが……そうですね、せっかくでしたら海外に行ってみるのも面白いかもしれません。	평상시는 외출기피입니다만……그렇네요, 모처럼이라면 해외에 가 보는 것도 재미있을지도 모릅니다.
海外って広いなぁ。具体的にここ、っていうのはないの？	해외는 넓다. 구체적으로 여기, 라고 하는 것은 없는거야?
特にはないですね。でも、人が大勢いる場所よりも静かな場所の方がいいです。	특히는 없네요. 그렇지만, 사람이 여럿 있는 장소보다 조용한 장소가 좋습니다.
ああ、じゃあ自然公園とか、砂漠とか。	아, 그럼 자연공원이라든지, 사막이라든지.
砂漠はどうかと思いますが……綺麗な景色が見られる場所、というのはいいかもしれませんね。	사막은 어떨까라고 생각합니다만……깨끗한 경치를 볼 수 있는 장소, 라고 하는 것은 좋을지도 모르겠네요.
でも、どこへ行くかも大切なのですが、誰と行くか、の方が大切だと思います。	그렇지만, 어디에 갈지도 중요합니다만, 누구와 가는지, 쪽이 중요하다고 생각합니다.
ああ、そうかもしれない。	아, 그럴지도 모른다.
ご主人様が旅行へ行くとしたら、どなたと一緒に行きたいですか？	주인님이 여행에 간다고 하면(자), 어떤 분과 함께 가고 싶습니까?
そうですか。でも、少し寂しくないでしょうか。	그렇습니까. 그렇지만, 조금 외롭지 않을까요.
いや、それでいいんだよ。気心の知れた相手ならともかく、一人の方が気楽だし。旅愁を味わうのもまた一興だよ。	아니, 그것으로 좋아. 속속들이 아는 상대 라면 몰라도, 한사람이 마음 편하고. 여수를 맛보는 것도 또 일흥이야.
ふふ、風流ですね。私もそういう旅行の方が好みです。	후후, 풍류군요. 나도 그러한 여행이 기호입니다.
私に会ってどうするんですか？	나를 만나 어떻게 합니까?
お土産をあげて、土産話に花を咲かせる、かな。	선물을 주어, 선물이야기에 꽃을 피우는, 일까.
楽しそうです。もしご主人様が旅行に行ったときは、色々と聞かせてください。	즐거운 듯 합니다. 만약 주인님이 여행하러 갔을 때는, 다양하게 들려주세요.
私とですか？　ご主人様も物好きですね。	나와입니까?　주인님도 호기심이군요.
そうかな。けっこう趣味が合うし、いいなと思ってるんだけど。	그럴까. 꽤 취미가 맞고, 좋다라고 생각하고 있었지만.
ちなみに、行くとしたらどこへ行かれる予定ですか？	덧붙여서, 간다고 하면(자) 어디에 갈 수 있을 예정입니까?
やっぱり自然がいいよね。グランドキャニオンとか、エアーズロックとか、ウユニ塩湖とか。	역시 자연이 좋지요. 그란드캐니온이라든지, 에아즈록크라든지, 우유니 염호라든지.
ウユニ塩湖というのは、どういう場所なのですか？	우유니 염호라고 하는 것은, 어떤 장소인 것입니다인가?
それはぜひ行ってみたいですね。ご主人様に誘っていただける日を待っています。	그것은 꼭 가 보고 싶네요. 주인님에게 권해 받을 수 있는 날을 기다리고 있습니다.
ここの従業員たち全員と一緒に行きたいね。	여기의 종업원들 전원과 함께 가고 싶다.
全員、ですか？	전원, 입니까?
まあ社員旅行みたいになっちゃうけど、そういうのもいいんじゃないかな。	뭐 사원여행같이 되어버린다하지만, 그러한 것도 좋지 않을까.
私は、どちからというと静かに旅行を楽しみたいのですが……	나는, 로부터라고 하면(자) 조용하게 여행을 즐기고 싶습니다만……
もちろんだけど、メイドは全員メイド服着用で旅行に参加してもらうから。	물론이지만, 메이드는 전원 메이드옷착용으로 여행에 참가받기 때문에.
えっ……メイド服であちこちを歩き回るのですか？	어……메이드옷으로 여기저기를 걸어 다닙니까?
当然でしょ。メイドを従えて旅行をする……これは男の夢であり、ロマンなんだよ！	당연하겠지. 메이드를 따르게 해 여행을 하는……이것은 남자의 꿈이며, 로망이야!
ご主人様がそうしたいとおっしゃるなら従いますけど……気が乗りませんね。	주인님이 그러한 실 말씀하신다면 따릅니다만……기분이 타지 않아요.
むう、ダメかな……	, 안된가……
あまり褒められた趣味ではないと思いますよ。	그다지 칭찬할 수 있었던 취미는 아니라고 생각해요.
